Name,Popularity
Buizel,90
Floatzel,42
Cherubi,8
Cherrim,23
Shellos,15
Gastrodon,47
Ambipom,31
Drifloon,71
Drifblim,34
Buneary,16
Lopunny,81
Mismagius,80
Honchkrow,74
Glameow,3
Purugly,10
Chingling,6
Stunky,6
Skuntank,15
Bronzor,6
Bronzong,21
Bonsly,7
Mime-Jr,9
Happiny,5
Chatot,31
Spiritomb,35
Gible,35
Gabite,9
Garchomp,404
Munchlax,50
Riolu,64
Lucario,604
Hippopotas,6
Hippowdon,12
Skorupi,1
Drapion,42
Croagunk,48
Toxicroak,82
Carnivine,12
Finneon,8
Lumineon,12
Mantyke,10
Snover,10
Abomasnow,25
Weavile,185
Magnezone,55
Lickilicky,19
Rhyperior,20
Tangrowth,19
Electivire,113
Magmortar,26
Togekiss,164
Yanmega,39
Leafeon,127
Glaceon,180
Gliscor,132
Mamoswine,69
Porygon-Z,148
Gallade,239
Probopass,16
Dusknoir,42
Froslass,143
Rotom,65
Uxie,3
Mesprit,5
Azelf,13
Dialga,73
Palkia,34
Heatran,7
Regigigas,29
Giratina,157
Cresselia,9
Phione,2
Manaphy,27
Darkrai,185
Shaymin,112
Arceus,35
Victini,91
Snivy,62
Servine,6
Serperior,106
Tepig,31
Pignite,7
Emboar,38
Oshawott,83
Dewott,51
Samurott,68
Patrat,1
Watchog,4
Lillipup,4
Herdier,7
Stoutland,27
Purrloin,3
Liepard,10
Pansage,6
Simisage,5
Pansear,2
Simisear,8
Panpour,2
Simipour,4
Munna,4
Musharna,7
Pidove,7
Tranquill,4
Unfezant,5
Blitzle,4
Zebstrika,23
Roggenrola,4
Boldore,6
Gigalith,17
Woobat,10
Swoobat,12
Drilbur,5
Excadrill,41
Audino,34
Timburr,3
Gurdurr,3
Conkeldurr,15
Tympole,6
Palpitoad,4
Seismitoad,8
Throh,9
Sawk,7
Sewaddle,1
Swadloon,11
Leavanny,20
Venipede,2
Whirlipede,5
Scolipede,80
Cottonee,2
Whimsicott,139
Petilil,7
Lilligant,94
Basculin,5
Sandile,16
Krokorok,10
Krookodile,95
Darumaka,10
Darmanitan,32
Maractus,57
Dwebble,7
Crustle,21
Scraggy,44
Scrafty,80
Sigilyph,44
Yamask,4
Cofagrigus,37
Tirtouga,4
Carracosta,20
Archen,10
Archeops,46
Trubbish,51
Garbodor,30
Zorua,82
Zoroark,159
Minccino,23
Cinccino,40
Gothita,0
Gothorita,5
Gothitelle,16
Solosis,8
Duosion,2
Reuniclus,112
Ducklett,10
Swanna,5
Vanillite,13
Vanillish,6
Vanilluxe,29
Deerling,5
Sawsbuck,32
Emolga,46
Karrablast,2
Escavalier,25
Foongus,5
Amoonguss,4
Frillish,2
Jellicent,23
Alomomola,1
Joltik,79
Galvantula,117
Ferroseed,3
Ferrothorn,39
Klink,5
Klang,4
Klinklang,32
Tynamo,6
Eelektrik,0
Eelektross,49
Elgyem,12
Beheeyem,20
Litwick,60
Lampent,12
Chandelure,222
Axew,17
Fraxure,6
Haxorus,115
Cubchoo,8
Beartic,10
Cryogonal,16
Shelmet,2
Accelgor,16
Stunfisk,27
Mienfoo,3
Mienshao,29
Druddigon,17
Golett,8
Golurk,87
Pawniard,6
Bisharp,93
Bouffalant,5
Rufflet,5
Braviary,33
Vullaby,3
Mandibuzz,13
Heatmor,6
Durant,13
Deino,13
Zweilous,4
Hydreigon,166
Larvesta,19
Volcarona,290
Cobalion,7
Terrakion,3
Virizion,4
Tornadus,2
Thundurus,4
Reshiram,38
Zekrom,39
Landorus,2
Kyurem,21
Keldeo,14
Meloetta,36
Genesect,28
Chespin,29
Quilladin,3
Chesnaught,20
Fennekin,23
Braixen,46
Delphox,41
Froakie,11
Frogadier,3
Greninja,219
Bunnelby,2
Diggersby,4
Fletchling,6
Fletchinder,9
Talonflame,31
Scatterbug,2
Spewpa,6
Vivillon,11
Litleo,4
Pyroar,19
Flabebe,4
Floette,5
Florges,5
Skiddo,14
Gogoat,37
Pancham,20
Pangoro,28
Furfrou,12
Espurr,57
Meowstic,45
Honedge,28
Doublade,10
Aegislash,168
Spritzee,3
Aromatisse,9
Swirlix,9
Slurpuff,21
Inkay,21
Malamar,33
Binacle,2
Barbaracle,12
Skrelp,5
Dragalge,24
Clauncher,2
Clawitzer,13
Helioptile,11
Heliolisk,25
Tyrunt,11
Tyrantrum,73
Amaura,8
Aurorus,19
Sylveon,282
Hawlucha,64
Dedenne,28
Carbink,11
Goomy,53
Sliggoo,7
Goodra,85
Klefki,44
Phantump,28
Trevenant,29
Pumpkaboo,34
Gourgeist,24
Bergmite,7
Avalugg,10
Noibat,13
Noivern,116
Xerneas,21
Yveltal,35
Zygarde,11
Diancie,16
Hoopa,8
Volcanion,5
Rowlet,89
Dartrix,2
Decidueye,107
Litten,31
Torracat,10
Incineroar,58
Popplio,26
Brionne,6
Primarina,51
Pikipek,3
Trumbeak,1
Toucannon,10
Yungoos,0
Gumshoos,4
Grubbin,5
Charjabug,9
Vikavolt,12
Crabrawler,5
Crabominable,2
Oricorio,11
Cutiefly,23
Ribombee,41
Rockruff,20
Lycanroc,91
Wishiwashi,5
Mareanie,13
Toxapex,35
Mudbray,5
Mudsdale,14
Dewpider,2
Araquanid,25
Fomantis,3
Lurantis,26
Morelull,5
Shiinotic,10
Salandit,8
Salazzle,33
Stufful,11
Bewear,36
Bounsweet,3
Steenee,3
Tsareena,25
Comfey,5
Oranguru,6
Passimian,7
Wimpod,3
Golisopod,79
Sandygast,5
Palossand,9
Pyukumuku,49
Type-Null,10
Silvally,32
Minior,32
Komala,13
Turtonator,6
Togedemaru,9
Mimikyu,284
Bruxish,10
